status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
video,4/30/2018 11:00,3742,55,436,3156,521,60,5,0,0
photo,4/28/2018 11:00,2923,40,156,2564,302,56,1,0,0
photo,4/27/2018 11:00,3751,27,142,3321,400,27,2,1,0
video,4/26/2018 11:00,4542,82,258,3955,528,48,11,0,0
video,4/25/2018 11:00,10191,159,1473,8722,1351,107,8,2,1
video,4/23/2018 12:20,805,25,99,683,110,12,0,0,0
video,4/18/2018 12:00,39038,1382,9351,28777,9035,1184,26,13,3
video,4/17/2018 4:00,20,0,0,18,2,0,0,0,0
video,4/16/2018 11:47,4033,65,521,3305,665,60,2,0,1
video,4/15/2018 11:00,895,12,63,806,84,2,0,0,3
video,4/14/2018 11:00,720,13,49,652,65,0,3,0,0
video,4/13/2018 11:00,771,11,51,707,62,1,1,0,0
video,4/12/2018 11:00,1689,28,168,1482,189,18,0,0,0
video,4/11/2018 11:00,4676,75,615,4078,551,43,3,0,1
video,4/9/2018 11:00,3380,47,388,3002,362,15,1,0,0
photo,4/8/2018 11:00,4993,39,227,4551,396,42,3,0,1
video,4/6/2018 11:00,2316,19,280,2067,218,30,1,0,0
photo,4/4/2018 11:03,6212,75,351,5581,589,36,3,2,1
photo,4/2/2018 11:00,3934,113,276,3468,386,24,53,1,2
photo,4/1/2018 11:00,5122,63,275,4526,555,38,2,0,1
photo,3/30/2018 11:00,6318,53,355,5625,632,54,2,1,4
photo,3/29/2018 12:00,6113,72,412,5335,686,83,7,1,1
photo,3/28/2018 11:00,5389,67,238,4709,623,55,2,0,0
photo,3/27/2018 11:00,3465,91,163,3097,345,19,1,2,1
photo,3/26/2018 11:00,13834,328,602,11574,2031,218,8,2,1
video,3/26/2018 6:00,1735,22,138,1502,194,8,31,0,0
photo,3/25/2018 11:00,6899,102,252,6006,817,72,3,1,0
video,3/25/2018 6:00,3332,54,298,2898,385,30,19,0,0
link,3/24/2018 12:00,8731,136,361,7384,1120,217,3,4,3
photo,3/23/2018 12:00,10225,211,445,8696,1385,137,5,1,1
video,3/22/2018 12:00,2841,28,224,2495,323,16,7,0,0
photo,3/20/2018 12:00,4166,87,412,3644,440,66,12,2,2
photo,3/19/2018 12:00,4559,50,244,4040,488,30,1,0,0
photo,3/18/2018 12:00,6033,80,312,5341,645,46,1,0,0
photo,3/17/2018 12:00,4381,39,179,3962,389,24,5,1,0
video,3/16/2018 12:00,7903,94,809,6996,864,39,4,0,0
link,3/14/2018 5:00,27,0,0,26,1,0,0,0,0
photo,3/13/2018 12:00,6548,88,327,5770,724,48,6,0,0
photo,3/12/2018 12:00,6901,64,427,6164,696,35,6,0,0
video,3/11/2018 12:00,8257,104,1490,7079,1089,79,7,2,1
photo,3/10/2018 12:00,2498,33,125,2255,226,5,0,0,12
video,3/9/2018 12:00,18697,349,3483,15516,2869,298,10,3,1
video,3/8/2018 14:54,98699,584,3505,92297,5532,733,100,21,16
video,3/7/2018 12:00,92646,2926,26036,69626,19292,3576,83,18,51
photo,3/6/2018 13:15,174330,1589,8897,152036,19410,2583,237,19,45
video,3/5/2018 12:46,38902,1231,3554,31215,6957,671,50,3,6
video,3/4/2018 13:00,1906,43,180,1630,255,17,2,1,1
video,3/4/2018 5:00,5203,88,724,4413,720,65,5,0,0
photo,3/2/2018 12:00,11115,110,577,9651,1381,78,4,0,1
video,3/1/2018 12:00,28660,707,5370,23314,5076,239,30,0,1
photo,2/28/2018 12:00,5378,58,227,4833,495,34,5,5,6
video,2/27/2018 12:00,6550,111,998,5663,794,86,5,1,1
